NAME	TITLE	SCORE	
UGDH		3.347241	
SPIN4		3.3432868	
TENM3		3.3431547	
LDHA		3.342442	
PPM1G		3.3411422	
HNRNPL		3.338569	
FRAT2		3.337628	
COA3		3.337509	
FBLN5		3.336618	
SRSF1		3.3356957	
CXCL17		3.3351839	
PDIA3		3.3345187	
CYCS		3.3312926	
KIF2C		3.3295307	
SPATA20		3.3269815	
FANCB		3.326954	
NUDT9		3.3266807	
RABL3		3.3244712	
HNRNPAB		3.3234048	
TIMM17B		3.3188584	
TMEM147		3.3149805	
CISD3		3.3149257	
FAU		3.3125644	
NUP35		3.3105624	
NEK2		3.309464	
GAR1		3.3063579	
GSPT1		3.306136	
NUCB2		3.3039222	
POLR2G		3.3022463	
LRIG1		3.2989411	
CHPT1		3.2988865	
BUB1B		3.2967985	
TUBB4B		3.2953072	
PPAT		3.293337	
NCAPD2		3.2910357	
GOLM1		3.2904904	
KITLG		3.2902634	
KIF18B		3.288199	
CENPI		3.2881522	
MTDH		3.2877595	
ZDHHC23		3.2871823	
AQP3		3.2861023	
EBAG9		3.2842004	
ADO		3.284186	
MEIS1		3.284022	
IKZF4		3.2834547	
SDHB		3.2812998	
CALR		3.2804017	
TMEM108		3.2796426	
S1PR2		3.2776823	
RPS27		3.2757344	
SPTLC3		3.2737913	
KNL1		3.2726858	
FOXA3		3.2721028	
KNTC1		3.2716827	
ELOA		3.2690568	
TBC1D4		3.2674015	
RACGAP1		3.267368	
MCM2		3.267292	
ALKBH2		3.2670321	
GSDMA		3.2669935	
MGST1		3.2662747	
TACC3		3.2656727	
CD247		3.2639737	
RHNO1		3.2631447	
AGA		3.2607398	
KIFC1		3.2603965	
MTFP1		3.259892	
POLD1		3.255666	
FH		3.2553866	
ZNF860		3.2529588	
TERC		3.251679	
FAT4		3.2460306	
DOCK1		3.2418766	
IRF1		3.2403119	
CENPU		3.2399447	
HNRNPA0		3.238424	
SMC1A		3.2377512	
CDCA2		3.2375133	
SPP1		3.2354608	
CEP72		3.2345924	
HAUS4		3.2342935	
SPDEF		3.2334485	
TUBA4A		3.2333016	
RIMS1		3.2319431	
ISOC1		3.2297258	
RFXAP		3.2284675	
AKAP1		3.2283804	
PIMREG		3.226236	
PC		3.2248564	
C12orf57		3.2216625	
ATP2A3		3.2191095	
ASS1		3.2186813	
SOD2		3.2162478	
TCF7L2		3.213137	
IFIT5		3.210143	
PTMA		3.2090247	
NUDT15		3.2089381	
PSMB8		3.2068782	
NREP		3.2060182	
AFG3L2		3.204155	
KAT2B		3.204077	
SGO2		3.2026997	
HLTF		3.2013474	
LONP1		3.1982741	
ZBTB18		3.1970382	
POLA2		3.1964045	
LINC01686		3.196263	
RPS18		3.1951506	
LBR		3.1942263	
NCAPH2		3.1871054	
USP37		3.186885	
MCCC1		3.1864657	
SERPINB1		3.18473	
CNPY3		3.1825714	
RMI2		3.1792672	
TBX15		3.1740193	
ST6GALNAC4		3.1729813	
E2F2		3.1713202	
ZFP36		3.1692123	
POLD2		3.1666927	
RAD54L		3.1640418	
NDUFC1		3.1630385	
SAPCD2		3.162913	
PNMA2		3.1617603	
SNRPB		3.1613784	
FAM124A		3.154904	
NANS		3.1532052	
INCENP		3.1521184	
PNP		3.1493516	
IFRD2		3.1386206	
PCM1		3.1368623	
TXLNG		3.134506	
ARL1		3.132297	
RPLP2		3.1302109	
DTYMK		3.1290762	
GMNN		3.1260726	
ZBTB21		3.125616	
RBM14		3.1243513	
NCALD		3.124095	
PGRMC1		3.1232314	
ACADS		3.1214375	
IQGAP3		3.119606	
ZGRF1		3.115982	
BLMH		3.1148338	
TMEM205		3.1143792	
APOE		3.1125917	
MRPS7		3.1104188	
ABHD17C		3.1097503	
MHENCR		3.1043136	
SLC43A3		3.1001685	
PRKAR2B		3.0998852	
NDC1		3.0979173	
UQCRH		3.0971725	
CDT1		3.095183	
CDC25C		3.0945954	
DPP7		3.0945954	
PHTF2		3.0906887	
LRP5		3.089584	
C17orf58		3.0883448	
RANBP1		3.087473	
TPPP3		3.0868568	
NRP1		3.0864987	
PCNT		3.0838842	
DCAF11		3.083351	
OBSCN		3.0830076	
GGT5		3.0819802	
RHBDD3		3.0792725	
ECI2		3.0781467	
TMPO		3.0777144	
TWNK		3.0768087	
NOP56		3.0767355	
DBI		3.0746565	
LINC01806		3.0739658	
EFHD2		3.0734339	
RSBN1L		3.0706296	
TMEM164		3.0698912	
EXOSC2		3.0697057	
FOXO3		3.0695271	
SLC1A5		3.0686984	
FANCI		3.0667758	
PRPS1		3.066588	
GFRA3		3.0661273	
SESN1		3.0660515	
PPRC1		3.065428	
TFAP4		3.06477	
CLPP		3.0634944	
UBIAD1		3.0625675	
MRFAP1		3.061887	
ESF1		3.05871	
MCM8		3.0580344	
PAXX		3.0566592	
CYB5B		3.054456	
NDUFA6		3.0543988	
CIP2A		3.0508738	
GOLT1A		3.0481308	
ZBTB7C		3.046951	
CENPF		3.0461528	
DTL		3.045012	
MFSD2A		3.0435388	
SRSF8		3.0423415	
MLLT1		3.0404296	
TFAM		3.0403633	
LSM2		3.0401828	
OAZ1		3.0382614	
NHLRC3		3.0381637	
ASF1A		3.0362823	
PELO		3.0353966	
FHL1		3.0336475	
MAT2A		3.0324817	
PCK2		3.0324483	
TFDP1		3.0318449	
PCOLCE		3.0317655	
HNRNPM		3.031539	
RPL36		3.0284395	
BEX3		3.0279496	
MAL2		3.0277126	
ZBED3		3.0218298	
HEXB		3.0207934	
ARHGAP33		3.0195951	
MON1A		3.0145147	
CRELD2		3.0132637	
MYO19		3.0117912	
SFTPA2		3.0115006	
PA2G4		3.010742	
PIGS		3.0094247	
STOML2		3.0059166	
PJA1		3.005848	
SETBP1		3.0037427	
RPL19		3.0024095	
ATP5MC3		3.0015554	
MCM4		2.9984555	
HNRNPD		2.9984474	
TIFA		2.9970508	
PARK7		2.9950626	
PDIA6		2.99506	
PSMB2		2.9947982	
CEBPB		2.991148	
PARS2		2.9893732	
MANF		2.988717	
KLHL15		2.9878385	
WDR82		2.9849677	
TUBG1		2.983622	
CXCL2		2.9822674	
C4BPA		2.9815166	
COMMD4		2.9814265	
FUS		2.980429	
ATP2C2		2.9775667	
MYDGF		2.97708	
ENOPH1		2.9736784	
TNRC18		2.973564	
FKBP2		2.9728096	
GGCT		2.971691	
PRDX5		2.970345	
TPD52		2.9698687	
FIS1		2.9691088	
TXNDC5		2.9688542	
CDH12		2.9659176	
PRMT1		2.9625278	
RPN2		2.962217	
FARSB		2.9620936	
ZWILCH		2.9614286	
ABCE1		2.961073	
SIVA1		2.9590254	
HNRNPA1		2.9579046	
IVNS1ABP		2.9560678	
COX5A		2.9554868	
KBTBD7		2.9548118	
IGFBPL1		2.9536197	
RPL11		2.951502	
NOP58		2.950674	
PRKD1		2.9470835	
KIF4A		2.9468007	
NRM		2.9392633	
ARF1		2.9367986	
ROR1		2.9316273	
DNAJC21		2.9313512	
SHMT2		2.931249	
CABLES1		2.9310083	
TDRD6		2.9306583	
PKN3		2.930433	
ETFDH		2.9297433	
POC1A		2.9289422	
DAAM2		2.9240608	
CEP152		2.9235013	
PIF1		2.9233708	
FAM136A		2.9226515	
CALCB		2.921359	
TCIM		2.9193566	
HMGB1		2.919304	
PI4KA		2.9175577	
FIGNL1		2.9174385	
USP1		2.9171717	
LRRCC1		2.9161544	
FAM111B		2.9160974	
RGL1		2.9156888	
ZNF438		2.9133081	
MUC1		2.9124327	
PDE7B		2.9122467	
PLK4		2.9119263	
NUF2		2.90973	
ANKRD29		2.9093704	
MRPS12		2.907141	
SLIRP		2.9065988	
FLOT1		2.905731	
TIMP3		2.9052556	
ATP5MC1		2.9044259	
BTF3		2.9044232	
FUT8		2.9042501	
MLPH		2.903417	
NDUFV1		2.9032195	
FANCA		2.9030817	
FADS1		2.9029012	
MAD2L1		2.9022765	
PPIH		2.901927	
KCNG3		2.9004397	
PRTFDC1		2.8976686	
MRPL11		2.8976464	
GALNT13		2.8951194	
GANAB		2.8927193	
EIF4EBP1		2.8924253	
NASP		2.8919964	
SH3TC1		2.891659	
DAXX		2.8911471	
TXN2		2.889619	
SLAIN1		2.8894002	
